Row,Unit,Module,Question,Explanation,Problem Name,Step Name,Input,Input Length,Average Input Length
66178,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,enzymes are catalysts that speed up or slow down a chemical reaction. Substrates bind to these enzymes. Product is what is in result of the chemical reaction from the enzyme.,30,25.923076923076923
64564,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,enzymes are proteins that speed up chemical reactions. Substrates are the molecule that the enzyme binds to. The product is what the substrate is converted to by the reaction,29,25.923076923076923
23494,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,Enzymes is a substance produced by a living organism that acts as a catalyst. Substrate is the substance on which an enzyme acts. Products are formed from chemical reactions.,29,25.923076923076923
19580,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,Enzymes are molecules that make of the metabolic pathway to digests other molecule. Substrate are layers and products are the create substance that is or will be released.,28,25.923076923076923
3113,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,enzymes-proteins that act as biological catalysts. substrate- a molecule an enzyme acts. product- species formed from chemical reactions.,18,25.923076923076923
48364,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"Enzymes are proteins, substrates are molecules that bind to enzymes, and products are the results of reactions.",17,25.923076923076923
17424,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"ennzymes catalyze a reaction when a substrate binds to it, creating a product of the reaction",16,25.923076923076923
38293,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur).,15,25.923076923076923
10895,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,Substrates are enzymes that bind with chemical reactants. A single-reactant is broken into products.,14,25.923076923076923
50236,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"Enzymes are proteins, substrates are an underlying substance, and a product is the results.",14,25.923076923076923
85227,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,They are all components that help with metabolism,8,25.923076923076923
33108,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,The compounds on which the enzymes act on,8,25.923076923076923
13814,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,enzymes catalyze chemical reactions involving the substrate.,7,25.923076923076923
42138,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,Enzymes are chemical reacting,4,25.923076923076923
49339,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,Enzymes are catalast,3,25.923076923076923
39882,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,A generator,2,25.923076923076923
30823,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"What makes studying plants so interesting if they are alive, but sit there and grow? If you wanted to do a specific living organism would you have to go to that organisms living environment or pay for the samples from somebody that already went? I hope to cover the way specific animals could live in an environment most humans would not agree to live in. I am most excited to learn about how so many organisms been living after all these years and how do some of the living organisms benefit us in living?",94,22.9811320754717
40375,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,Why are lipids considered organic? Why is cotton considered biotic instead of abiotic? Where are genes located? Is grass abiotic or biotic? Which RNA base pairs with DNA? How does energy get converted from food molecules to muscles? How does DNA forms chromosomes in eukaryotic cells?   In this course i hope to cover what things are really living and nonliving it sounds easy until things you think were living but is actually nonliving. I'm mostly excited to learn about DNA for some reason because its just interesting to me.,89,22.9811320754717
77504,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"Are gender traits completely results of societal expectations? Are there any parts of the human body that get oxygen directly from the air and not from the blood? How do nerves control every organ and function in the body? Why do humans have appendix when it's not necessary? I hope that we cover growth and development, sensitivity or response to the environment. I am most excited to learn the ecology of our skin. Basically, the skin decent to bacteria.",79,22.9811320754717
84201,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,1. How did biology become a major study in the world today? 2. what does it take to classify the differences in the antibiotic and biotic? i hope to get a better understanding like more examples of the biotic and antibiotic i understand just want official understanding. most exciting is learning of how to distinguish the living organisms terms for them and how to define them properly.,67,22.9811320754717
47803,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,Can humans ever directly see a photon? Do blind people dream in visual images?does the human body contain minerals? Are gender traits completely a result of societal expectations? Are there nuclear reactions going on in our bodies? Do koalas eat honey like other bears? Do poppy seeds contain narcotics? I want to learn how the body works. And different stuff I didn’t know,63,22.9811320754717
45057,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,How does biology help us with everyday life? Some concepts I hope to cover alot in this class because it is going to help me in  my field of study. I'm mostly excited to learn about bacteria and the formation of DNA. Science and math is my weakest subjects and I want to get better at that.,57,22.9811320754717
48942,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,The questions I have about biology is the evolution of species. Have animals and other species evolved due to the natural changes of the environment? How did their genetic make up centuries ago compare to today's species. I'm most excited about learning things that happen through out the human bodies from child birth to an adult.,56,22.9811320754717
123291,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"My question about biology is that , what cells are the main causes of diseases . How much of learning about life can be applied to my everyday life an how i can help people with this new knowledge . Im most excited to learn a little bit more about human anatomy to an extinct",55,22.9811320754717
9220,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,I don’t have any questions but I’m most excited to learn about the human mind. That kind of information is my cup of tea. I’m ready to engage in conversations about the human body as well. This was one of the classes I was looking forward to the most on my schedule.,52,22.9811320754717
21358,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,How do trees give earth all its oxygen?How long does it take our eyes to fully adapt to darkness? I hope to cover the things I need to know to move forward in my biology classes. I am most excited to learn new things and how certain things work in life.,51,22.9811320754717
80833,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"I generally have questions based upon specific topics, but as for now I have non. In this course I hope to cover the interworking of have so many things play a role just for the simplest things to happen. Honestly, I am excited to learn all that I can.",49,22.9811320754717
16244,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"I really hope to cover a lot about genetics and evolution of humans and animals because I feel like that is the most interesting part about biology. More specifically, Im interested to learn more about the process of how cells change and adapt over time by changing their DNA.",49,22.9811320754717
31976,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,The concepts that i hope to cover over this course is that hopefully I can end up fully understand the study of life and what i'm most excited to learn about is the different bacterias and which ones are good for your body and which ones are bad.,48,22.9811320754717
94468,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,Questions I have for the study for Biology is does brain size relate to intelligence?Does everyone needs to be vaccinated? The concept that I am more happy to go over is topics about DNA. I'm most excited to learn about the brain and how the mind works,47,22.9811320754717
89571,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,How do we know what we know?  How do certain organisms and viruses get their names ?  I’m most excited about learning about the many things on the earth that don’t move or anything like me do but are still alive like trees ..,44,22.9811320754717
83678,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,I don't have many questions about this course but I do hope to learn more about what things are made of besides matter. I am most excited to learn about cells because it was my favorite thing to learn in my early years.,43,22.9811320754717
75558,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,When understanding biology how did they know which group belong to who?  What made them create groups/families? I hope to cover the questions I just asked. I am excited to learn more about human life and how similar it is to other life.,43,22.9811320754717
6593,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,I hope to cover even more about Darwins theory of evolution and how both animals and people have had to evolve to become what we are now. I am excited to learn more about acid rain and its effects on the environment.,42,22.9811320754717
43307,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"How come some non living things are considered ""Biotic""? Does everything has to be studied outside? Is there more Abiotic or biotic organisms? I don't really have anything specific that i would hope to cover. I am excited to learn everything.",41,22.9811320754717
48835,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,I do not really have any questions or specific concepts that I hope to cover. I am excited about biology as whole and hope to gain the knowledge and important aspects that I need to be successful in my future career.,41,22.9811320754717
52358,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,I hope to learn more about how many different living or nonliving things could create a living thing or nonliving thing. I'm most excited to learn about how one thing could make another even if they didn't have the same characteristics.,41,22.9811320754717
22282,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"Will the process of photosynthesis ever change? I hope to cover more about animals and humans being similar, the ecosystem organization, behavioral traits of both animals and humans. I am most excited about every topic we'll go over this school year.",41,22.9811320754717
71449,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"*Biology is pretty straight forward, so I have no questions. **I hope to cover DNA and RNA (I still struggle with the difference between the two). ***I'm most excited to learn more about Photosynthesis! It's my favorite concept.",38,22.9811320754717
53273,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,I hope to learn about life in the ocean and the way bacterias and such affect us that may come from the ocean it things we put into the ocean. I am most excited to learn about cells.,38,22.9811320754717
113209,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,I am excited to learn about the different chemical processes and biological agents that are involve in the breaking down of food molecules in our body to produce the energy we need to go about our daily life.,38,22.9811320754717
31129,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,Just hoping and praying that I can grasp the information better this year than I have in my previous years because I did struggle with anything that had to deal with science through my years in high school.,38,22.9811320754717
94778,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,As I take this course this semester I am most excited to learn about the animals. Some of the concepts regarding animals that I hope to learn during this course is the reproduction and development of animals.,37,22.9811320754717
96143,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,When did the study actually start? Whatr are some questions that have not been able to be answered over the years? I am excited to just learn new things about my body that I haven't learned before.,37,22.9811320754717
11322,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,The most excited thing I learn about was Characteristics of Life because it talked about things that are considered to be living such as how we evolve or how we use energy and raw materials to survive.,37,22.9811320754717
64867,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,Who was the first person to study biology? How is living matter created? How do we use biology everday? I am most excited to learn knew information about biology that I never understood in high school.,36,22.9811320754717
103461,No Unit,No Module,List several questions you have about the study of biology. What concepts do you hope to cover in this course? What are you most excited to learn about?,There are so many interesting questions to ask when studying biology! We look forward to helping you answer some or all of these questions.,inline_intro_to_bio_DIGT_v1,q2_student_questions_A UpdateShortAnswer,"as of right now I don't really have any questions, or particular concepts to cover. I'm excited to learn what biology is all around. I never really got the concept of it in my previous classes.",36,22.9811320754717
